X,Y,Tensão/volts
,0,4.043
,,
0,2,3.474
2,2,3.532
4,2,3.570
6,2,3.556
8,2,3.553
10,2,3.543
12,2,3.547
14,2,3.546
16,2,3.527
18,2,3.525
20,2,3.512
22,2,3.489
24,2,3.454
,,
0,4,3.065
2,4,3.117
4,4,3.145
6,4,3.139
8,4,3.137
10,4,3.128
12,4,3.118
14,4,3.104
16,4,3.116
18,4,3.104
20,4,3.088
22,4,3.055
24,4,3.019
,,
0,6,2.694
2,6,2.717
4,6,2.734
6,6,2.725
8,6,2.721
10,6,2.698
12,6,2.698
14,6,2.704
16,6,2.661
18,6,2.673
20,6,2.664
22,6,2.660
24,6,2.624
,,
0,8,2.297
2,8,2.305
4,8,2.316
6,8,2.298
8,8,2.304
10,8,2.296
12,8,2.276
14,8,2.254
16,8,2.256
18,8,2.250
20,8,2.260
22,8,2.233
24,8,2.243
,,
0,10,1.905
2,10,1.914
4,10,1.925
6,10,1.884
8,10,1.881
10,10,1.879
12,10,1.877
14,10,1.848
16,10,1.862
18,10,1.854
20,10,1.861
22,10,1.864
24,10,1.868
,,
0,12,1.543
2,12,1.524
4,12,1.504
6,12,1.483
8,12,1.474
10,12,1.484
12,12,1.480
14,12,1.479
16,12,1.478
18,12,1.468
20,12,1.477
22,12,1.494
24,12,1.495
,,
0,14,1.207
2,14,1.167
4,14,1.142
6,14,1.119
8,14,1.095
10,14,1.093
12,14,1.088
14,14,1.076
16,14,1.078
18,14,1.093
20,14,1.101
22,14,1.115
24,14,1.127
,,
0,16,0.875
2,16,0.785
4,16,0.741
6,16,0.720
8,16,0.721
10,16,0.709
12,16,0.712
14,16,0.718
16,16,0.706
18,16,0.701
20,16,0.720
22,16,0.719
24,16,0.742
,,
0,18,0.487
2,18,0.415
4,18,0.376
6,18,0.374
8,18,0.373
10,18,0.363
12,18,0.365
14,18,0.358
16,18,0.358
18,18,0.373
20,18,0.367
22,18,0.370
24,18,0.380
,,
,20,0