x,y,Tenṣo/volts
0,0,4.003
2,0,4.003
4,0,4.003
6,0,4.003
8,0,4.003
10,0,4.003
12,0,4.003
14,0,4.003
16,0,4.003
18,0,4.003
20,0,4.003
22,0,4.003
24,0,4.003
25,0,4.003
,,
0,2,3.430
2,2,3.443
4,2,3.456
6,2,3.410
8,2,3.339
10,2,3.243
12,2,3.187
14,2,3.204
16,2,3.621
18,2,3.357
20,2,3.388
22,2,3.401
24,2,3.371
25,2,3.333
,,
0,4,3.005
2,4,3.027
4,4,2.989
6,4,2.882
8,4,2.742
10,4,2.571
12,4,2.391
14,4,2.430
16,4,2.585
18,4,2.802
20,4,2.891
22,4,2.925
24,4,2.911
25,4,2.883
,,
0,6,2.623
2,6,2.632
4,6,2.574
6,6,2.454
8,6,2.231
10,6,1.891
12,6,1.883
14,6,1.884
16,6,2.024
18,6,2.297
20,6,2.464
22,6,2.522
24,6,2.510
25,6,2.590
,,
0,8,2.235
2,8,2.227
4,8,2.183
6,8,2.109
8,8,1.877
10,8,1.874
12,8,1.873
14,8,1.874
16,8,1.874
18,8,2.009
20,8,2.100
22,8,2.146
24,8,2.140
25,8,2.145
,,
0,10,1.873
2,10,1.874
4,10,1.868
6,10,1.867
8,10,1.865
10,10,1.866
12,10,1.867
14,10,1.867
16,10,1.867
18,10,1.851
20,10,1.834
22,10,1.821
24,10,1.808
25,10,1.833
,,
0,12,1.551
2,12,1.545
4,12,1.542
6,12,1.606
8,12,1.856
10,12,1.860
12,12,1.861
14,12,1.859
16,12,1.859
18,12,1.670
20,12,1.559
22,12,1.502
24,12,1.489
25,12,1.655
,,
0,14,1.248
2,14,1.212
4,14,1.233
6,14,1.309
8,14,1.492
10,14,1.850
12,14,1.850
14,14,1.851
16,14,1.614
18,14,1.371
20,14,1.228
22,14,1.179
24,14,1.148
25,14,1.136
,,
0,16,0.926
2,16,0.850
4,16,0.852
6,16,0.893
8,16,1.028
10,16,1.154
12,16,1.253
14,16,1.243
16,16,1.090
18,16,0.962
20,16,0.842
22,16,0.808
24,16,0.784
25,16,0.890
,,
0,18,0.517
2,18,0.457
4,18,0.436
6,18,0.468
8,18,0.533
10,18,0.555
12,18,0.644
14,18,0.602
16,18,0.553
18,18,0.483
20,18,0.438
22,18,0.393
24,18,0.403
25,18,0.538
,,
0,20,0.000
2,20,0.000
4,20,0.000
6,20,0.000
8,20,0.000
10,20,0.000
12,20,0.000
14,20,0.000
16,20,0.000
18,20,0.000
20,20,0.000
22,20,0.000
24,20,0.000
25,20,0.000